	ABL2	ACVR2A	AFF3	ALK	AMER1	APC	ARHGAP35	ARID1A	ARID1B	ARID2	ARNT	ASXL1	ASXL2	ATF7IP	ATM	ATR	ATRX	BAP1	BCL6	BCL9	BCL9L	BCOR	BCORL1	BRAF	BRCA2	BRD4	CACNA1A	CAMTA1	CARD11	CASP8	CCND1	CCND2	CCNE1	CD79B	CDH1	CDH11	CDK12	CDK4	CDK6	CDKN1A	CDKN1B	CDKN2A	CHD3	CHD4	CHD8	CIC	CLTC	CREBBP	CTCF	CTNNB1	CUX1	DDR2	DDX5	DEK	DICER1	DNMT1	EGFR	ELF3	ELK4	EP300	ERBB2	ERBB3	ERBB4	ERCC2	ESR1	ETV1	ETV5	EZH2	FAS	FAT1	FAT4	FBXW7	FCGR2B	FCRL4	FGFR1	FGFR2	FGFR3	FGFR4	FHIT	FLT4	FOXA1	FOXL2	FOXO1	FOXO3	FUBP1	GATA2	GATA3	GNAS	GRIN2A	GTF2I	H3F3A	HEY1	HIST1H3B	HLF	HMGA2	IDH1	IDH2	IKBKB	IKZF3	IL7R	INPPL1	IRS4	JAK1	JAK3	KANSL1	KAT6A	KDM5A	KDM6A	KDR	KEAP1	KIT	KLF5	KMT2A	KMT2B	KMT2C	KMT2D	KRAS	LPP	LRP1B	MACF1	MAP2K1	MAP2K4	MAP3K1	MAP3K13	MDM2	MDM4	MECOM	MED12	MET	MGA	MITF	MSI2	MTOR	MYC	MYCL	MYH9	NCOA2	NCOR1	NCOR2	NF1	NF2	NFATC2	NFE2L2	NIPBL	NKX2-1	NOTCH1	NOTCH2	NRAS	NRG1	NSD1	NTRK1	NTRK3	NUTM1	PBRM1	PBX1	PDGFRA	PIK3CA	PIK3CB	PIK3CG	PIK3R1	PLXNB2	POLE	POLQ	PPM1D	PPP2R1A	PRDM1	PREX2	PSIP1	PTEN	PTPN13	PTPRB	PTPRC	PTPRK	PTPRT	RAC1	RAD21	RAF1	RANBP2	RARA	RASA1	RB1	RBM10	RNF43	ROS1	RPL22	RUNX1T1	SALL4	SCAF4	SETBP1	SETD2	SMAD4	SMARCA4	SOS1	SOX17	SOX2	SOX9	SPEN	SPOP	STAG2	STIL	STK11	TCF7L2	TERT	TET1	TP53	TP63	TRRAP	TSC1	UBR5	UNCX	USP6	USP9X	VHL	WWTR1	ZBTB16	ZFHX3	ZNF521
SBS1	-0.074854	0.090564	0.0086627	0.07748	-0.30565	0.0	5.099	0.52018	0.0	0.0	-0.9586	0.4013	1.0429	0.0	1.0653	0.03475	-0.1714	0.0	-0.054879	0.0	0.0	-18.507	0.0	0.0	-0.88569	-10.774	0.0	0.0	-1.5823	4.3071	0.0	-0.76239	-0.58126	0.0	0.14823	0.0	0.0080316	0.0	-18.342	2.7897	0.19954	0.0	0.49855	0.0	0.0	-0.050921	0.0	0.2801	0.012055	0.0	25.102	-0.7529	0.0	0.0	0.0	0.28542	0.11871	7.2208	0.0	0.0	0.0	0.0	0.0	0.0	-3.4513	0.1846	0.3302	0.0	-33.231	0.11307	0.0	0.12912	0.0	0.0	0.0	0.035426	-0.77246	-7.774	0.022536	-0.3598	-2.8894	0.53844	-16.757	-25.979	-2.3383	0.0079238	0.58178	0.0	0.0	0.0	-0.080697	-0.1381	0.3442	52.58	-0.47725	-4.2467	-4.7685	10.634	-1.4555	-0.09082	-1.5067	0.015794	0.0	20.135	0.0071014	0.0	0.0	-0.52592	0.0	0.0	-13.325	0.024838	0.0	0.0	0.017152	0.075766	-0.11229	-0.11342	-0.093334	0.39242	0.0	0.97574	-5.7265	-0.93764	0.10573	-2.0475	-0.8962	4.1757	0.15992	0.39925	-4.4115	0.11494	0.052009	-0.70458	-6.2245	0.010156	-9.9546	0.0	-0.027091	0.0	0.0	-0.26333	-0.47828	20.81	7.4023	7.0306	-0.46496	0.0076645	-2.1727	0.24349	-4.8503	0.0	0.0	0.0	0.0	0.11477	0.023579	0.50716	0.8974	0.89768	0.0021062	0.0	0.0	0.26282	0.0	-27.513	0.0072555	0.00091647	0.0	0.0	0.0	0.00045915	6.9513	0.0	0.0	-0.57795	0.010048	0.073996	-0.0063312	0.0	0.043287	0.0	0.074857	0.0	-13.279	0.027114	0.0	0.076459	0.0	-0.0011593	-0.4682	0.0	0.021217	-2.3131	-1.1426	-0.54078	-0.49652	1.9171	-0.5845	-8.72	3.2713	-0.75702	0.0	0.1358	-0.15547	-0.16045	0.062437	-0.40237	0.0	12.399	0.0	0.0	-3.9152	0.11076	-0.0072414	0.13605	0.067437
SBS2	0.21309	0.0	0.013942	0.74075	-0.51552	0.0	-0.73808	0.0	0.016411	0.0	-0.26492	0.34287	7.5009	0.0	-0.80843	0.097192	0.0	0.0	0.14363	0.074283	0.11967	15.094	0.0	0.0	0.16538	-31.07	0.0	-0.12898	-3.2748	12.525	0.0	-0.0808	0.015878	8.8428	1.8577	0.18137	0.023071	0.0	-5.9601	10.127	0.34777	0.0	-1.1156	0.0	-14.647	0.0	0.0	-0.019024	-0.0056427	10.674	3.2231	0.0	43.141	0.0	0.0	-0.034107	-0.016647	13.614	-16.674	0.05406	0.0	0.15249	0.00089719	0.0	0.0	-0.64136	0.0	0.0	-29.19	-0.098846	0.0	0.2604	0.0	-0.14145	-0.76511	0.36904	0.0	-7.9435	0.011216	-0.17091	-7.8	0.59897	-15.17	27.508	0.0	-0.0021989	4.2546	0.0	0.0	0.0	0.0	0.0	0.0	36.313	-0.76656	0.0	1.0374	-6.3659	0.032283	-0.068791	1.7889	-0.038513	0.0	0.20842	0.0	0.0	0.056608	0.0	0.0	5.5361	-7.138	0.0	0.0	0.0	0.15952	0.0	-0.64588	0.14754	0.0068463	0.0	0.0	-0.83285	12.152	0.0	0.0	6.4722	-0.15964	0.0	0.6034	0.0	0.0	0.0	0.0	-0.32321	-8.5037	0.016813	-1.9828	0.20669	-4.3878	0.0	0.0	1.5917	-4.99	-36.53	-6.0561	16.936	-0.16004	-0.004494	0.0	0.0	-2.1644	0.0	0.0	0.0	0.0	-0.87996	0.14252	0.57965	0.0	-0.29433	0.0011106	0.0	0.0	-0.3743	0.0	-5.5254	0.0	0.004572	0.0	0.0	0.0	0.00098187	0.0	0.0	-2.7849	0.0	0.0090166	0.14011	0.015971	-3.0757	0.10747	0.3866	0.0	0.0	-1.5733	-0.0043342	-14.149	0.12602	0.0	0.0051741	0.63075	0.0	0.45302	-0.54581	0.030729	-4.229	-0.14579	5.3061	0.0	-34.191	-0.71281	-0.46553	-0.048415	-0.0073392	-0.15649	-0.15963	0.066189	0.0	0.0	-0.40608	0.0	0.0	50.302	-0.12069	-0.39905	0.023762	0.0
SBS3	0.0	0.0	-0.0023113	0.0	-0.68462	0.0	-0.1881	-0.099282	0.0	0.0	0.0	0.13331	29.056	0.0	-0.96203	0.074312	-0.10384	0.13682	-0.01614	0.0	0.0	0.0	0.0	0.0	0.32339	0.0	0.0	0.0	0.0	21.843	-0.302	0.0	0.0	0.0	-0.35874	0.0	-0.0061472	0.0	0.0	-4.9676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.019229	0.0	0.0	0.0	0.059345	0.0	0.0	0.0	0.0	-0.0088067	-1.6331	0.64389	0.0	0.0	0.0	0.080979	0.0	0.0	0.21735	-0.0029879	0.0	0.0	0.0	0.0	-0.16796	0.0	0.0	-0.33919	0.0	0.0	0.0	0.05498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.9471	0.0	0.0	0.58947	0.0	0.0	-3.0425	11.455	-0.51451	0.0	0.0	0.095815	-0.91246	0.051972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087784	0.0	0.0	-0.77926	0.0	0.0	0.0	-0.0013545	0.0	0.068233	0.039812	0.0	0.0	0.0	-0.1186	0.0	0.0	-0.043444	2.8786	0.0099021	0.0	0.30909	0.91298	0.0	-0.049845	0.0	0.23433	6.4284	0.0071617	1.7571	0.12542	0.0	0.0	0.0	0.79017	2.7313	0.0	0.0	0.0	0.0	-0.00094605	0.0	-65.432	3.4125	0.0	0.0	0.0	0.0	-0.15965	-0.11648	0.0	0.0	0.0	-0.0023452	0.0	0.0	0.0	0.0	0.0	0.0	-0.0019277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039436	0.0061144	0.0	0.0	0.0	0.063457	0.0	0.0	0.0	0.0	0.15111	0.0	0.0	0.0	-0.0025545	45.448	0.0	-0.41913	0.0	0.0	-0.61718	-0.74543	0.0	0.0	-3.8487	0.0	-0.83805	0.015559	0.09197	0.23438	-0.053982	0.065684	-7.7547	0.062217	0.0	0.0	0.0	0.0	0.0	0.0	-0.04398	-0.090133
SBS4	0.0	0.0	0.0036729	0.21605	0.0	0.0	0.0	0.0	0.0	0.0	-0.024033	0.0	0.0	0.13226	0.0	0.0	0.21939	0.0	-0.034766	0.0	0.26241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0013099	0.0	0.0	0.0	0.0	0.0	0.6433	0.0	0.0	0.0	0.0	0.0	-0.17732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.585	0.0	-0.099303	0.0	0.0	0.0	0.0	-0.024384	0.0	0.0	0.0	0.0	0.0	0.17768	0.0	0.0	0.0	-0.040459	0.0	0.0	0.088042	0.0	0.0	0.0	0.0	-0.17929	0.0	0.0	0.0	-0.021067	0.0	-0.51258	0.0	0.0	0.0	0.0	0.011205	0.0	0.5908	0.0	-0.060909	0.0	0.0	0.0	0.0	-0.3335	0.0	0.0	0.759	-27.65	0.16514	0.0	0.12781	0.0	0.0	0.0	0.0	0.0	0.25997	0.24816	-1.1351	-1.6428	0.0	0.0	0.0	0.13445	0.0	-0.28724	0.0	0.17743	0.21684	0.0	0.0	0.0	-0.069942	0.0	0.0	-0.0011272	1.2898	-0.099091	0.0	0.0	0.0	0.0	-0.22854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6598	0.0	-0.57371	0.32301	0.0	0.0	0.0	0.49597	1.16	0.033022	0.0	0.0	0.0	-0.12221	-0.22628	0.0045012	-0.13495	0.0	0.0	0.31309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018247	0.011301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6557	-0.32667	-0.31374	0.0	0.0	0.0	0.16055	0.0	0.0	0.11006	-0.00010671	-0.073335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.4855	0.0	-0.088763	0.0	0.032436	-0.19753	0.0	0.0	0.10499	0.0	0.0	0.0	0.0	-0.07792	0.0	0.0	0.21725
SBS5	0.32971	0.12238	0.008068	0.57264	-0.25977	0.0	2.0853	0.0	0.029042	0.0	0.3142	0.25038	-0.4176	0.0068882	0.54769	0.020138	0.055504	0.0	0.13099	0.11425	0.0	6.9935	0.26766	0.0	0.50711	-17.574	0.011003	0.20199	0.14624	-1.1587	0.0	0.27007	-0.48529	0.0	-1.1346	0.0	0.023723	-0.041247	2.1715	-4.8159	-0.17201	0.0	-1.2343	0.0	-2.5403	-0.29946	0.0	0.0	0.016887	-0.081482	-7.3311	0.33448	0.0	0.0	0.0	-0.0025507	-0.055821	1.5188	0.0	0.0	0.0	0.046075	0.097104	0.75915	1.9632	-0.12384	0.28053	0.0	8.0042	0.0	0.052952	-0.16868	0.15293	0.37255	0.33876	0.0	0.0	-5.802	0.073867	0.0	0.0	-0.60921	-2.3551	-6.7382	-1.4348	0.0070545	-8.4926	0.0	0.0	-0.58707	0.0	0.0	1.5922	-16.198	-1.7284	-0.10053	-3.4928	2.4878	0.0022362	0.044525	2.0595	0.10004	0.51723	15.259	0.066623	0.0	0.0073509	0.20944	0.0	0.26933	-2.4326	0.0	0.0	0.42523	0.1682	0.27662	-0.21743	0.57197	0.17084	0.031942	0.0	-0.31094	-0.69248	0.19488	0.0	1.3098	0.19251	-5.0478	1.337	0.10133	1.6099	-0.31011	0.11665	0.3027	5.2195	0.00092731	5.5604	-0.41104	0.7078	0.0	0.0	0.26905	1.3758	-2.812	0.41086	-0.80218	0.41076	0.013324	0.63202	0.074496	3.4152	0.0	0.0	0.0	0.0	0.11405	0.025184	0.09195	0.4887	0.0	0.01599	0.0	0.090121	-0.61121	-0.11225	-8.1959	0.065054	0.003008	0.010424	0.0	0.0	0.0091458	-4.6557	0.0	0.0	0.0	0.01031	0.28086	-0.0052029	-3.2857	0.20442	-0.14651	0.15477	0.0	26.87	0.050361	2.087	0.098834	0.0	-0.0032027	0.70925	0.045871	0.3217	0.0	0.14471	-2.9782	-0.11752	-4.087	-0.25151	-3.3768	-0.70218	0.23875	-0.10377	0.15549	0.10553	0.13927	0.075889	-0.39994	0.0	3.7524	0.0	0.0	0.0	0.14675	-0.26991	0.15406	0.095539
SBS6	0.0	0.046019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.017	0.0	0.0	0.0	0.083979	0.0	0.0	0.0	0.0	0.0	-0.22418	0.0	0.0	0.0	0.0	0.0	-0.037805	0.0	-0.21105	0.0	-0.53723	0.0	0.0	0.0	-12.498	0.0	-0.24932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-10.91	0.0	0.0	0.0	0.0	0.0	0.0	-0.055184	0.0	0.0	0.0	0.0	0.16194	0.0	0.0	0.0	0.0	0.091134	0.0	-45.056	-5.671	0.0	29.095	0.0	0.0	0.0	0.0	0.0	0.0	-0.029033	0.0	326.91	0.0	-21.988	-17.392	0.0	0.0	0.0	0.0	0.0	-0.41047	0.0	-3.8939	0.0	0.0	0.0	0.0	-0.83463	0.0	-36.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.1822	0.0	0.0	0.0	0.040284	0.0	0.021524	0.032707	0.0	0.0	0.0	0.0	0.0	0.3877	0.0	0.0	0.16192	0.0	0.0	0.0	0.0	0.0	0.0	-0.03091	0.0	0.0	-29.703	0.0	0.0	0.0	0.0	-0.8897	13.864	77.479	0.0	0.0	0.0	-0.00091613	-20.632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05116	0.0	-0.68378	0.0	0.0	0.0	0.0	0.0	0.0	-15.098	0.0	0.0	-0.077051	0.0	0.0	0.0	0.0	0.0	0.0	-0.14074	0.0	0.0	-0.00054588	0.0	-0.11313	0.0	0.0	0.0	0.0	-0.030926	-75.848	0.0	0.0	0.0	-0.25137	0.0	0.0	-3.6345	0.30627	0.0	0.0	958.41	0.0	0.0	0.0	0.0	-11.526	0.0	0.031646	0.00061441	-0.023545	0.0	0.082879	-6.5095	0.0	0.0	0.0	0.0	-0.20409	0.053196	0.054704
SBS7a	-4.9647	0.0	0.0	-1.2684	0.0	0.0	0.0	0.0	0.0	0.0	-12.354	0.0	0.0	0.0	3.3057	0.0	-0.068396	0.0	0.20878	0.0	0.0	0.0	0.0	0.081664	-0.34391	0.0	0.0	0.0	-19.534	22.192	-0.29004	-0.12387	0.0	0.0	1.1589	0.0	0.0	0.0	0.0	0.0	-0.24505	0.0	0.0	0.0	0.0	2.0966	0.0	0.0	0.0	0.0	-32.267	0.0	0.0	0.0	0.0	0.0	-0.021577	0.0	-99.868	0.0	0.0	0.0	0.1392	0.0	0.0	0.0	18.756	0.0	-39.326	0.22645	0.09757	0.0	0.0	0.0	-7.0429	0.0	0.0	-10.12	0.0	-4.3683	1.1094	0.0	-73.263	-22.642	0.0	0.0	10.921	-2.6577	0.0	-0.34106	-0.061296	0.29924	0.0	-33.484	0.0	0.0	0.0	-38.981	-2.8128	0.0	0.0	-0.013165	0.0	0.0	0.0	0.0	0.0	0.0	0.3072	-13.896	-3.4241	0.0	0.0	0.0	0.45179	0.0	5.6932	42.335	0.10201	-0.72676	0.15921	-5.7014	-5.5654	29.25	0.0	-47.774	0.64378	-3.0647	-0.47416	1.283	13.716	-0.25551	0.0	0.19156	0.0	0.0	17.187	1.8196	0.0	0.0	0.0	0.0	15.567	0.0	5.8827	-25.676	-0.15789	0.014489	-35.771	-80.994	-28.463	0.0	0.0	0.0	0.0	-7.3333	0.023452	0.0	-8.0688	0.0	0.0	0.0	0.0	-3.0637	0.0	-41.464	0.090329	0.0	0.0	0.0	0.03942	0.012501	-11.904	0.024088	0.0	0.11447	0.0	0.0	0.0	0.0	-0.006	-0.40445	0.0	0.047248	0.0	0.011038	0.0	0.0	0.0	0.0034522	0.27732	0.0	0.0	1.4118	0.0	0.0	0.0	1.0083	0.0	0.0	-2.7575	0.0	-17.109	0.24421	-0.21616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-142.75	0.12277	-0.46	0.0	0.0
SBS7b	0.0	0.0	-0.0011567	0.85751	0.0	0.0	-0.55598	0.0	0.0	0.0	-3.543	0.0	-14.064	0.0	-13.158	-0.010127	0.0	-0.034512	0.38587	0.0	0.0	0.0	0.0	0.11993	-0.080047	0.0	0.0	0.0	-29.381	54.17	0.0	-0.14118	0.0	0.0	0.0	0.0	-0.0015545	0.0	0.0	-50.598	0.41133	0.0	0.0	0.0	0.0	0.14522	0.0	-0.061993	0.0	0.0	0.0	-5.9043	0.0	0.0	0.0	0.0	0.07562	-10.244	0.0	0.0	0.0	-0.011557	0.0	0.0	0.0	-0.098399	55.747	0.10433	-25.457	-0.13343	0.0	0.0	0.0	0.0	-2.99	0.0	-6.575	0.40771	0.0	0.0	-43.121	0.0	-37.171	-36.212	-5.8981	0.0	0.0	0.0	0.0	0.0	0.0	-0.61425	-0.16422	0.0	0.02295	0.0	0.0	-7.3555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3377	-0.3155	0.0	-0.32144	0.0	0.0017007	0.0	-0.22351	0.0	5.362	0.0	0.074052	0.94423	0.0	0.0	0.0	66.424	0.0	0.0	-0.30313	0.0	-0.15376	-1.2821	-10.969	0.0	0.0	-0.8794	-33.58	-0.0015332	-49.346	0.0	0.0	0.0	0.0	-0.59278	-15.765	0.0	0.0	-18.246	0.0	0.013663	0.0	0.0	-5.2845	0.0	0.0	0.0	0.0	-0.033015	0.054899	0.0	0.0	0.0	-0.0011874	0.0	0.0	0.0	0.0	-20.932	0.093113	-0.00049751	0.0	0.0	0.0	0.011084	0.0	0.060025	-1.6793	-38.319	-0.0016185	0.0	0.0	0.0	-0.28252	-2.0846	0.0	0.051145	0.0	-0.029697	0.0	0.0	0.0	-0.0014131	3.0381	0.0	-0.060943	-9.5319	2.397	0.0	-0.084396	-147.41	-27.771	-48.981	0.0	0.0	-0.0313	0.19137	-0.057701	0.0	0.0	-19.165	0.0	0.0	0.0	0.0	131.48	0.16555	0.67709	0.16339	0.0
SBS7c	0.0	0.0	0.0	1.3653	0.0	0.0	0.0	0.0	0.0	0.0	7.2826	0.0	0.0	0.0	-18.029	0.0	0.0	-0.026825	-0.018056	0.0	0.0	0.0	0.0	0.0	-0.17231	0.0	0.0	0.0	0.0	-25.952	0.06755	-0.082754	-11.888	0.0	-2.3043	0.0	0.0	0.0	0.0	0.0	-0.12309	0.0	0.0	0.0	0.0	-2.9671	0.0	0.0	0.0	0.0	0.0	0.70471	0.0	0.0	0.0	0.0	-0.057852	0.0	0.41608	0.0	0.0	0.0	0.079839	0.0	0.0	0.0	-15.775	0.0	-26.62	-0.51841	0.0	-10.512	0.0	28.135	6.4107	0.0	0.0	-10.12	0.0	0.0	-42.357	0.0	-17.673	-12.324	-12.743	0.0	-20.62	-5.5289	0.0	0.21572	0.0	-13.908	0.0	-65.634	0.67877	8.8285	0.0	21.931	35.468	0.0	0.0	-0.007007	0.0	0.0	0.0	0.0	0.0	0.0	0.64062	0.0	0.0	0.0	0.0	0.0	-0.092217	0.0	-3.026	38.541	0.0	0.32917	-0.044251	0.0	0.0	-23.865	0.0	0.0	0.0	0.0	-0.16486	0.22005	-2.3979	-0.068318	0.0	0.081311	0.0	0.0	-21.764	-2.1288	0.0	0.0	0.0	0.0	30.542	0.0	-33.024	-14.173	0.0	0.0082636	-81.579	-94.782	15.898	0.0	0.0	0.0	0.0	0.0	0.043659	0.0	-15.321	0.0	0.0	0.0	0.0	2.494	0.0	-9.8301	-0.040645	0.0	-0.041395	0.0	0.0	0.0025677	-13.923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.050601	0.0	0.0	0.0060299	0.0	-0.045038	0.0	0.0	0.0	-0.001177	-9.9342	0.0	0.0	-3.8518	0.0	0.0	0.0	-97.96	0.0	0.0	-4.4524	0.0	-30.232	-0.10109	0.029341	-0.10561	0.0	0.0	0.0	0.0	0.0	0.0	141.25	0.011389	-0.16129	0.0	0.0
SBS7d	-13.463	0.0	-0.0011567	1.2674	0.0	0.0	-0.55598	0.0	0.0	0.045901	0.76052	0.0	-14.064	0.0	-20.555	-0.010127	0.0	-0.052476	-0.060383	0.0	0.0	0.0	0.0	0.0	-0.27035	0.0	0.0	0.0	-29.381	-30.256	0.049423	-0.16319	-11.247	0.0	-0.91939	0.0	-0.0015545	0.0	0.0	-50.598	-0.31467	0.0	0.0	0.0	0.0	-0.080668	0.0	-0.061993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.054981	-10.244	-274.72	0.0	0.0	-0.011557	0.0	0.0	0.0	-0.098399	-0.088309	0.0	-31.151	-0.12969	0.0	-9.9281	0.0	0.0	-1.1389	0.0	-6.575	-9.9631	0.0	-3.2347	-34.524	0.0	42.935	61.959	-5.4084	0.0	3.3509	0.0	0.0	0.66197	-0.13768	-5.4788	-0.16422	-18.788	-0.75064	1.961	0.0	6.1257	-125.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3377	0.018426	0.0	0.21352	0.0	0.0	0.0	-0.045043	0.0	-22.38	-0.39265	0.0	-0.12004	0.0	-12.338	-3.2999	-32.162	0.0	-136.73	-0.080925	0.0	-0.65749	0.56073	7.9267	0.31699	0.0	-0.026911	-33.58	-0.0015332	-83.978	-4.0548	0.0	0.0	0.0	-0.59278	-4.2861	0.0	0.0	-16.589	0.0	0.012205	-17.439	-13.475	4.229	0.0	0.0	0.0	0.0	-0.033015	0.043086	0.0	0.0	0.0	-0.0011874	0.0	0.0	2.171	0.0	9.5597	0.049512	-0.00049751	0.0	0.0	0.0	0.0071706	1.2951	0.0	-1.6793	0.24261	-0.0016185	0.0	0.0	0.0	0.21264	-2.0846	0.0	0.0	0.0	-0.083632	0.0	0.0	0.0	-0.0016465	-9.4669	0.0	-0.060943	-9.4885	0.0	0.0	-0.084396	8.557	-27.771	-48.981	0.0	0.0	-0.0313	-0.00097634	0.030643	0.23496	0.037333	-19.165	0.027006	0.0	0.0	0.0	-51.62	-0.044594	-0.52571	0.0	0.0
